Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 10:11:14,2023-01-03 10:11:14,0.823s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:11:14,2023-01-03 10:11:16,1.459s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 10:11:16,2023-01-03 10:11:17,1.003s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 10:11:17,2023-01-03 10:11:17,0.252s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 10:11:17,2023-01-03 10:11:18,0.617s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 10:11:18,2023-01-03 10:11:18,0.634s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 10:11:18,2023-01-03 10:11:19,0.697s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 10:11:19,2023-01-03 10:11:20,0.593s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:11:20,2023-01-03 10:11:20,0.256s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:11:20,2023-01-03 10:11:20,0.113s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 108.0.0.0,,,2023-01-03 10:11:20,2023-01-03 10:11:20,0.363s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 108.0.0.0,,,2023-01-03 10:11:20,2023-01-03 10:11:21,0.169s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Date Range_90 days""))",Chrome 108.0.0.0,,,2023-01-03 10:11:21,2023-01-03 10:11:21,0.267s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Confirm_Duration""))",Chrome 108.0.0.0,,,2023-01-03 10:11:21,2023-01-03 10:11:21,0.181s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:11:21,2023-01-03 10:11:21,0.116s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""))",Chrome 108.0.0.0,,,2023-01-03 10:11:21,2023-01-03 10:11:21,0.231s,PASSED
"click(findTestObject(""1.MKP/Sell/button_Close_Popup""))",Chrome 108.0.0.0,,,2023-01-03 10:11:21,2023-01-03 10:11:22,0.206s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2023-01-03 10:11:22,2023-01-03 10:11:23,0.918s,PASSED
Start listener action : sampleAfterTestCase,Chrome 108.0.0.0,,,2023-01-03 10:11:23,2023-01-03 10:11:23,0.001s,PASSED
,,,,,,,
Test Cases/1.MKP/Sell/Fixed Price/Sell_Fixed Price_Cancel_Set Full,Chrome 108.0.0.0,,,2023-01-03 10:11:23,2023-01-03 10:11:37,14.578s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 108.0.0.0,,,2023-01-03 10:11:23,2023-01-03 10:11:23,0.001s,PASSED
"callTestCase(findTestCase(""1.MKP/BeforeTest/OpenChromeProfiles""), [:], STOP_ON_FAILURE)",Chrome 108.0.0.0,,,2023-01-03 10:11:23,2023-01-03 10:11:25,2.675s,PASSED
navigateToUrl(MKP_url),Chrome 108.0.0.0,,,2023-01-03 10:11:25,2023-01-03 10:11:28,2.481s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:11:28,2023-01-03 10:11:29,0.654s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/img_header_profile_avatar""))",Chrome 108.0.0.0,,,2023-01-03 10:11:29,2023-01-03 10:11:29,0.860s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_My Profile""))",Chrome 108.0.0.0,,,2023-01-03 10:11:29,2023-01-03 10:11:30,0.250s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Owned""))",Chrome 108.0.0.0,,,2023-01-03 10:11:30,2023-01-03 10:11:30,0.645s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Sell""))",Chrome 108.0.0.0,,,2023-01-03 10:11:30,2023-01-03 10:11:31,0.571s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Fixed Price""))",Chrome 108.0.0.0,,,2023-01-03 10:11:31,2023-01-03 10:11:32,0.601s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_fixed-price-duration""))",Chrome 108.0.0.0,,,2023-01-03 10:11:32,2023-01-03 10:11:32,0.348s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_dateRange""))",Chrome 108.0.0.0,,,2023-01-03 10:11:32,2023-01-03 10:11:32,0.302s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Date Range_3 days""))",Chrome 108.0.0.0,,,2023-01-03 10:11:32,2023-01-03 10:11:33,0.362s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Confirm_Duration""))",Chrome 108.0.0.0,,,2023-01-03 10:11:33,2023-01-03 10:11:33,0.310s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_price-token""))",Chrome 108.0.0.0,,,2023-01-03 10:11:33,2023-01-03 10:11:33,0.266s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Token_0""))",Chrome 108.0.0.0,,,2023-01-03 10:11:33,2023-01-03 10:11:33,0.280s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_fixed-price-amount""), priceToSell)",Chrome 108.0.0.0,,,2023-01-03 10:11:33,2023-01-03 10:11:34,0.468s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/span_Private_Listing""))",Chrome 108.0.0.0,,,2023-01-03 10:11:34,2023-01-03 10:11:34,0.276s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Manage member""))",Chrome 108.0.0.0,,,2023-01-03 10:11:34,2023-01-03 10:11:34,0.293s,PASSED
"setText(findTestObject(""Object Repository/1.MKP/Sell/input_Wallet Address or Username""), ""lamldt"")",Chrome 108.0.0.0,,,2023-01-03 10:11:34,2023-01-03 10:11:35,0.479s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Add member""))",Chrome 108.0.0.0,,,2023-01-03 10:11:35,2023-01-03 10:11:35,0.298s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/div_Done""))",Chrome 108.0.0.0,,,2023-01-03 10:11:35,2023-01-03 10:11:35,0.251s,PASSED
"waitForElementClickable(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""), 5)",Chrome 108.0.0.0,,,2023-01-03 10:11:35,2023-01-03 10:11:36,0.174s,PASSED
"click(findTestObject(""Object Repository/1.MKP/Sell/button_Place on market""))",Chrome 108.0.0.0,,,2023-01-03 10:11:36,2023-01-03 10:11:36,0.290s,PASSED
